X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-18555.1741082271,-15661.2263241632,0,AcDbEntity:AcDbPoint,,,61DE,
-18972.757072959,-16730.7485759167,0,AcDbEntity:AcDbPoint,,,61DF,
-20473.44555567,-17395.9392361733,0,AcDbEntity:AcDbPoint,,,61E0,
-22991.9925461566,-19026.3085206796,0,AcDbEntity:AcDbPoint,,,61E1,
-22972.5860725193,-16077.7050842086,0,AcDbEntity:AcDbPoint,,,61E2,
-23577.9064939275,-15271.9157598824,0,AcDbEntity:AcDbPoint,,,61E3,
-23354.6619411596,-14197.7630688244,0,AcDbEntity:AcDbPoint,,,61E4,
-21470.0625887208,-14898.2975115059,0,AcDbEntity:AcDbPoint,,,61E5,
-20961.2726719491,-14026.5214589501,0,AcDbEntity:AcDbPoint,,,61E6,
-20182.0952699474,-13417.6288170092,0,AcDbEntity:AcDbPoint,,,61E7,
-19039.9138139321,-13967.6779630957,0,AcDbEntity:AcDbPoint,,,61E8,
-18406.5222746885,-12628.8791349885,0,AcDbEntity:AcDbPoint,,,61E9,
-21142.5661306628,-12374.6110149018,0,AcDbEntity:AcDbPoint,,,61EA,
-22191.2964947902,-13236.0087711407,0,AcDbEntity:AcDbPoint,,,61EB,
-17653.720951381,-12540.6636162949,0,AcDbEntity:AcDbPoint,,,61EC,
-17041.0962659053,-12649.6355879451,0,AcDbEntity:AcDbPoint,,,61ED,
-8958.20564662985,-14812.5056718208,0,AcDbEntity:AcDbPoint,,,61EE,
-8534.23566844216,-13865.5888654948,0,AcDbEntity:AcDbPoint,,,61EF,
-7633.9536931673,-14305.0420129699,0,AcDbEntity:AcDbPoint,,,61F0,
-7330.37023348239,-13373.8197573834,0,AcDbEntity:AcDbPoint,,,61F1,
-4663.46432981599,-14926.6260058831,0,AcDbEntity:AcDbPoint,,,61F2,
-3700.37218179385,-14206.7599574999,0,AcDbEntity:AcDbPoint,,,61F3,
-3677.87804765045,-14944.2362296058,0,AcDbEntity:AcDbPoint,,,61F4,
-2413.25913075643,-14780.0819812212,0,AcDbEntity:AcDbPoint,,,61F5,
-2080.02798188484,-15583.4061424065,0,AcDbEntity:AcDbPoint,,,61F6,
-2879.84302278631,-15626.1732100196,0,AcDbEntity:AcDbPoint,,,61F7,
73.5202469226205,-15778.5627260661,0,AcDbEntity:AcDbPoint,,,61F8,
-13953.7854147667,-13263.4592545539,0,AcDbEntity:AcDbPoint,,,61F9,
-15730.1069565057,-12281.0306341152,0,AcDbEntity:AcDbPoint,,,61FA,
-14766.6084189755,-11772.771234179,0,AcDbEntity:AcDbPoint,,,61FB,
-12103.605954016,-12357.9381649589,0,AcDbEntity:AcDbPoint,,,61FC,
-16707.4687248075,-11139.6645695387,0,AcDbEntity:AcDbPoint,,,61FD,
-18071.2771733839,-11425.0485824751,0,AcDbEntity:AcDbPoint,,,61FE,
-19915.823665664,-11617.8006229043,0,AcDbEntity:AcDbPoint,,,61FF,
-10731.7674387082,-13466.3634538915,0,AcDbEntity:AcDbPoint,,,6200,
-10748.7695660554,-12903.4482206386,0,AcDbEntity:AcDbPoint,,,6201,
-10982.5879939269,-12431.4459524262,0,AcDbEntity:AcDbPoint,,,6202,
-9992.02531477762,-11811.3234021977,0,AcDbEntity:AcDbPoint,,,6203,
-8831.16068846849,-11367.6849666976,0,AcDbEntity:AcDbPoint,,,6204,
-5222.96495901776,-13128.1385733506,0,AcDbEntity:AcDbPoint,,,6205,
-4244.01462262659,-12988.3582780749,0,AcDbEntity:AcDbPoint,,,6206,
-3404.9145128142,-11354.6768278051,0,AcDbEntity:AcDbPoint,,,6207,
-3308.76765386958,-10515.9954751824,0,AcDbEntity:AcDbPoint,,,6208,
-4287.71774032869,-11214.8966722066,0,AcDbEntity:AcDbPoint,,,6209,
-4025.4990341161,-10096.6547290325,0,AcDbEntity:AcDbPoint,,,620A,
-4698.52729666053,-9755.94052119277,0,AcDbEntity:AcDbPoint,,,620B,
-5170.52121777524,-10035.500972067,0,AcDbEntity:AcDbPoint,,,620C,
-5021.93036765605,-10734.4020294139,0,AcDbEntity:AcDbPoint,,,620D,
-5939.69608933223,-12175.8856784375,0,AcDbEntity:AcDbPoint,,,620E,
-6411.690010447,-11057.6438749407,0,AcDbEntity:AcDbPoint,,,620F,
-6778.79644907668,-9738.46787952539,0,AcDbEntity:AcDbPoint,,,6210,
