Name;Adress;Description;Year;X;Y
"Стартовая площадка";"Ереванская ул., вл. 6, корп. 2";"";;55.6297985;37.6691594
"Стартовая площадка";"Ереванская ул., вл. 4";"";;55.6307654;37.6691059
"Стартовая площадка";"Кантемировская ул., вл. 35";"";;55.636443;37.661302
"Стартовая площадка";"Кантемировская ул., вл. 43";"";;55.636666;37.658149
"Стартовая площадка";"Бехтерева ул., вл. 3-5";"";;55.6272958;37.6473096
"Стартовая площадка";"3-й Михалковский пер., вл. 17, вл. 19";"";;;
"Стартовая площадка";"Каширское ш., вл. 9, к. 2";"";;55.668376;37.629277
"Стартовая площадка";"Полярная ул., вл. 4";"";;55.8729145;37.6395919
"Стартовая площадка";"Полярная ул., вл. 17, корп. 1";"";;55.8763058;37.6357615
"Стартовая площадка";"Леснорядская ул., д. 7, 2-я Леснорядская ул., д. 10-12, стр. 1";"";;55.7817312;37.6752219
"Стартовая площадка";"Гаврикова ул., вл. 3";"";;55.7809226;37.6718743
"Стартовая площадка";"Тайнинская ул., вл. 3";"";;55.8780267;37.680968
"Стартовая площадка";"Тайнинская ул., вл. 11";"";;55.8827979;37.6847996
"Стартовая площадка";"Всеволода Вишневского ул., вл. 11";"";;55.8112319;37.5693659
"Стартовая площадка";"3-я Прядильная ул., вл. 10";"";;55.7943046;37.7794473
"Стартовая площадка";"3-я Прядильная ул., вл. 14";"";;55.7946456;37.7810389
"Стартовая площадка";"1-я Прядильная ул., вл. 3";"";;55.7986976;37.7701961
"Стартовая площадка";"7-я Парковая ул., вл. 19-21";"";;55.7540471;37.620405
"Стартовая площадка";"3-я Прядильная ул., вл. 13";"";;55.7945389;37.7789299
"Стартовая площадка";"Никитинская ул., вл. 19, корп. 1, 2";"";;55.8005438;37.7743301
"Стартовая площадка";"Заводская ул., вл. 8";"";;55.4311514;37.2746041
"Стартовая площадка";"Заводская ул., вл. 14";"";;55.4316764;37.2746793
"Стартовая площадка";"Люблинская ул., вл. 111, стр. 3";"";;55.680397;37.739411
"Стартовая площадка";"Люблинская ул., вл. 113, корп. 3";"";;55.678443;37.7411
"Стартовая площадка";"Симферопольский проезд, вл. 7";"";;55.6650821;37.6154558
"Стартовая площадка";"Вавилова ул., вл. 76";"";;55.6798324;37.5450679
"Стартовая площадка";"Введенского ул., вл. 9";"";;55.6435093;37.5433851
"Стартовая площадка";"Пивченкова ул., вл. 1";"";;55.7328036;37.4758056
"Стартовая площадка";"Пивченкова ул., вл. 14";"";;55.7366367;37.4762705
"Стартовая площадка";"Боровский проезд, вл. 1";"";;55.6545406;37.3914718
"Стартовая площадка";"Веерная ул., вл. 28А";"";;55.7110385;37.4827091
"Стартовая площадка";"Генерала Глаголева ул., вл. 9, корп. 1";"";;55.7815786;37.4609326
"Стартовая площадка";"Новикова-Прибоя наб., вл. 6, корп. 2, корп. 3";"";;55.7824352;37.4491545
"Стартовая площадка";"Демьяна Бедного ул., вл. 22, корп. 3";"";;55.7797657;37.4908058
"Стартовая площадка";"Дмитровское ш., вл. 55А";"";;55.843626;37.568246
"Стартовая площадка";"Базовская ул., вл. 24-26";"";;55.8784549;37.5120106
"Стартовая площадка";"Базовская ул., вл. 22-24";"";;55.8784549;37.5120106
"Стартовая площадка";"Коровинское ш., вл. 29";"";;55.8793807;37.5213126
"Стартовая площадка";"Смольная ул., вл. 23";"";;55.8489014;37.4939411
"Стартовая площадка";"Измайловский б-р, вл. 71/25";"";;55.7979554;37.8170311
"Стартовая площадка";"Зеленый пр-т, вл. 101";"";;55.7507118;37.8281805
"Стартовая площадка";"поселок Загорье, вл. 3";"";;54.8729532;53.376012
"Стартовая площадка";"Большая Очаковская ул., вл. 45А";"";;55.6747632;37.4459158
"Стартовая площадка";"Парковая ул., вл. 7";"";;55.7540471;37.620405
"Стартовая площадка";"Яблочкова ул., вл. 26-28";"";;55.8201731;37.5806223
